,biQ,Q,biW,W,date
0,475.25,463.89,448.8,445.08,2021-02-03 08:04:48.015585
1,474.63,463.31,449.05,445.22,2021-02-03 08:05:23.404008
2,474.58,463.02,449.05,445.28,2021-02-03 08:06:56.759053
3,474.67,463.15,449.05,445.0,2021-02-03 08:07:03.869524
4,465.01,453.62,439.93,436.27,2021-02-03 08:25:53.801788
5,466.05,454.67,441.22,437.31,2021-02-03 08:28:00.420598
6,468.85,457.66,443.73,440.07,2021-02-03 08:31:29.649911
7,471.24,460.2,445.18,442.52,2021-02-03 08:32:55.128334
8,474.61,463.32,449.57,445.82,2021-02-03 08:34:20.080381
9,475.82,464.4,451.32,446.58,2021-02-03 08:35:44.342938
10,475.66,464.49,450.15,446.77,2021-02-03 08:37:09.322187
11,474.69,463.39,449.69,446.07,2021-02-03 08:38:35.361580
12,474.97,463.67,449.63,445.25,2021-02-03 08:39:59.818316
13,476.29,464.63,450.72,447.12,2021-02-03 08:41:25.803046
14,475.51,465.2,450.46,447.34,2021-02-03 08:42:50.521907
15,478.76,466.94,453.01,449.5,2021-02-03 08:44:15.318441
16,477.94,466.87,453.43,450.02,2021-02-03 08:45:39.932291
17,476.27,464.96,450.16,447.53,2021-02-03 08:47:05.979176
18,475.84,464.81,451.04,446.91,2021-02-03 08:48:31.192252
19,475.59,464.43,450.04,446.32,2021-02-03 08:49:55.297622
20,475.23,464.33,449.83,446.47,2021-02-03 08:51:21.722939
21,475.87,464.71,450.46,446.83,2021-02-03 08:52:51.754310
22,476.94,465.82,451.25,447.76,2021-02-03 08:54:16.912450
23,476.74,465.65,451.63,447.94,2021-02-03 08:55:40.465089
24,477.46,466.2,452.46,448.44,2021-02-03 08:57:05.725285
25,477.18,465.9,451.31,447.88,2021-02-03 08:58:30.474867
26,476.6,465.72,450.84,447.52,2021-02-03 08:59:55.797456
27,476.62,465.54,450.64,447.13,2021-02-03 09:01:20.471203
28,476.29,465.38,451.09,447.28,2021-02-03 09:02:45.671578
29,476.31,465.29,450.88,447.24,2021-02-03 09:04:10.179985
30,475.57,464.66,450.21,446.67,2021-02-03 09:05:34.913469
31,476.04,465.09,450.34,447.0,2021-02-03 09:06:59.199108
32,475.45,464.67,450.17,446.5,2021-02-03 09:08:24.724331
33,475.75,464.78,450.08,446.63,2021-02-03 09:09:49.255497
34,476.14,465.42,450.45,446.93,2021-02-03 09:11:14.395571
35,475.39,464.38,450.1,446.77,2021-02-03 09:12:38.536051
36,476.38,465.1,451.07,447.81,2021-02-03 09:14:03.930416
37,476.12,464.88,450.68,447.44,2021-02-03 09:15:29.311359
38,476.14,465.14,450.5,447.12,2021-02-03 09:16:53.915571
39,476.78,465.94,451.41,448.3,2021-02-03 09:18:20.437659
40,477.03,465.63,451.65,448.16,2021-02-03 09:19:44.969335
41,477.44,466.05,451.82,448.44,2021-02-03 09:21:09.841229
42,477.33,465.68,451.61,448.37,2021-02-03 09:22:37.509675
43,481.03,469.17,454.18,451.54,2021-02-03 09:24:02.803247
44,479.18,467.17,453.47,449.92,2021-02-03 09:25:28.139347
45,480.31,468.77,453.84,451.04,2021-02-03 09:26:53.435233
46,480.3,468.78,454.44,451.4,2021-02-03 09:28:17.919488
47,480.31,468.36,455.13,451.63,2021-02-03 09:30:19.983589
48,479.33,467.62,453.9,450.01,2021-02-03 09:31:45.304304
49,478.33,466.86,453.08,449.45,2021-02-03 09:32:10.616747
50,478.81,467.49,453.38,449.87,2021-02-03 09:33:10.603594
51,479.53,468.18,453.53,450.44,2021-02-03 09:33:37.009104
52,479.14,467.72,453.73,450.21,2021-02-03 09:34:36.451637
53,479.17,467.43,453.47,450.02,2021-02-03 09:35:02.646940
54,478.52,466.71,452.61,448.99,2021-02-03 09:35:59.617759
55,478.15,466.77,452.53,449.25,2021-02-03 09:36:26.292814
56,479.03,466.89,453.25,450.02,2021-02-03 09:37:24.524510
57,478.29,466.88,452.68,449.07,2021-02-03 09:37:52.661118
58,478.51,466.85,452.61,449.15,2021-02-03 09:38:50.199148
59,478.76,467.41,453.32,449.72,2021-02-03 09:39:18.635641
60,481.17,469.16,454.42,451.04,2021-02-03 09:59:21.570532
61,480.76,468.86,454.35,450.91,2021-02-03 09:59:47.061078
62,476.81,464.83,450.28,447.11,2021-02-03 10:16:09.497754
63,460.34,448.74,434.56,431.29,2021-02-04 01:08:12.203045
64,455.48,443.78,430.58,427.33,2021-02-04 01:09:34.591655
