,biQ,Q,biW,W,date
0,475.25,463.89,448.8,445.08,2021-02-03 08:04:48.015585
1,200.12,194.38,187.27,186.4,2021-02-03 08:05:23.410428
2,200.27,194.57,187.12,186.47,2021-02-03 08:06:56.764294
3,200.33,194.6,187.22,186.46,2021-02-03 08:07:03.874531
4,197.08,191.56,184.43,183.54,2021-02-03 08:25:55.904645
5,197.11,191.7,184.62,183.5,2021-02-03 08:28:02.665844
6,200.28,195.18,187.64,186.6,2021-02-03 08:31:31.979554
7,203.36,197.71,190.33,189.16,2021-02-03 08:32:57.387133
8,203.67,198.32,190.51,189.51,2021-02-03 08:34:22.060370
9,203.32,198.16,190.62,189.16,2021-02-03 08:35:46.513616
10,203.67,198.25,190.54,189.09,2021-02-03 08:37:11.657756
11,202.76,197.4,189.91,188.56,2021-02-03 08:38:37.558410
12,202.05,196.76,188.82,187.96,2021-02-03 08:40:02.344357
13,202.21,196.66,189.06,187.91,2021-02-03 08:41:27.804402
14,202.89,197.5,189.54,188.37,2021-02-03 08:42:52.870092
15,203.24,197.77,190.14,188.85,2021-02-03 08:44:17.267206
16,202.66,197.13,189.36,188.19,2021-02-03 08:45:42.107908
17,201.82,196.36,188.77,187.78,2021-02-03 08:47:08.166474
18,201.75,196.16,188.62,187.58,2021-02-03 08:48:33.190745
19,201.59,196.19,188.48,187.44,2021-02-03 08:49:57.612539
20,202.22,196.71,188.98,187.93,2021-02-03 08:51:24.408529
21,202.16,196.52,188.94,187.91,2021-02-03 08:52:53.690563
22,202.16,196.57,188.83,187.76,2021-02-03 08:54:19.297440
23,201.91,196.33,189.16,187.71,2021-02-03 08:55:43.289199
24,202.11,196.5,188.8,187.7,2021-02-03 08:57:07.936007
25,201.76,196.29,188.78,187.64,2021-02-03 08:58:32.639042
26,201.71,196.19,188.61,187.48,2021-02-03 08:59:57.872920
27,201.89,196.29,188.45,187.34,2021-02-03 09:01:22.416684
28,201.5,196.01,188.17,187.17,2021-02-03 09:02:47.928123
29,201.66,196.03,188.28,187.24,2021-02-03 09:04:12.270867
30,201.35,195.9,188.21,187.05,2021-02-03 09:05:36.876772
31,201.39,195.78,188.17,186.98,2021-02-03 09:07:01.544349
32,201.58,196.09,188.32,187.27,2021-02-03 09:08:26.841072
33,201.27,195.88,188.27,187.28,2021-02-03 09:09:51.648022
34,201.19,195.58,188.04,187.07,2021-02-03 09:11:16.714829
35,201.13,195.48,187.95,186.61,2021-02-03 09:12:40.705555
36,201.15,195.55,188.09,186.87,2021-02-03 09:14:06.324221
37,201.5,195.74,188.18,187.28,2021-02-03 09:15:31.508921
38,200.89,195.35,187.72,186.64,2021-02-03 09:16:56.638317
39,200.9,195.41,187.9,186.74,2021-02-03 09:18:22.476557
40,201.14,195.46,187.93,186.64,2021-02-03 09:19:47.624064
41,201.28,195.53,187.91,186.91,2021-02-03 09:21:12.004345
42,201.11,195.58,187.76,186.91,2021-02-03 09:22:39.575632
43,201.82,196.39,188.39,187.37,2021-02-03 09:24:04.891228
44,201.59,195.94,188.41,187.17,2021-02-03 09:25:30.152884
45,201.46,196.2,188.27,187.16,2021-02-03 09:26:55.498317
46,201.39,195.75,188.09,187.06,2021-02-03 09:28:19.633016
47,201.18,195.68,187.86,186.72,2021-02-03 09:30:22.099230
48,201.26,195.6,188.0,186.73,2021-02-03 09:31:47.431982
49,201.1,195.46,187.75,186.59,2021-02-03 09:32:13.206772
50,201.26,195.8,188.13,186.99,2021-02-03 09:33:13.110163
51,201.35,195.71,188.07,186.89,2021-02-03 09:33:39.157135
52,201.17,195.52,187.9,186.82,2021-02-03 09:34:38.636613
53,201.03,195.46,187.89,186.59,2021-02-03 09:35:04.771257
54,201.07,195.51,187.9,186.59,2021-02-03 09:36:01.568219
55,201.12,195.53,187.87,186.74,2021-02-03 09:36:28.441819
56,201.07,195.48,187.91,186.55,2021-02-03 09:37:27.026575
57,201.05,195.38,187.8,186.63,2021-02-03 09:37:55.054017
58,201.02,195.35,187.87,186.62,2021-02-03 09:38:52.374907
59,201.1,195.23,187.49,186.38,2021-02-03 09:39:20.780978
60,201.25,195.55,187.96,186.85,2021-02-03 09:59:24.342161
61,201.12,195.56,187.9,186.7,2021-02-03 09:59:49.046096
62,200.54,194.9,187.37,186.27,2021-02-03 10:16:11.999385
63,193.04,188.05,181.54,180.4,2021-02-04 01:08:14.658329
64,191.2,186.37,179.8,179.09,2021-02-04 01:09:36.936265
