,biQ,Q,biW,W,date
0,40260.61,38989.14,37617.08,37297.75,2021-02-03 08:04:47.992718
1,40233.96,38942.74,37594.32,37282.01,2021-02-03 08:05:23.377451
2,40282.04,39001.21,37633.76,37328.83,2021-02-03 08:06:56.737024
3,40274.0,38988.3,37614.39,37322.51,2021-02-03 08:07:03.847873
4,39631.8,38375.94,37150.76,36826.21,2021-02-03 08:25:44.607771
5,39713.7,38446.53,37245.13,36922.3,2021-02-03 08:27:51.361128
6,39674.66,38414.28,37189.43,36890.7,2021-02-03 08:31:21.297189
7,39666.42,38410.93,37185.6,36883.34,2021-02-03 08:32:46.093602
8,39720.71,38459.98,37234.5,36933.3,2021-02-03 08:34:11.587406
9,39899.34,38633.05,37381.47,37084.18,2021-02-03 08:35:35.762644
10,39926.77,38667.25,37400.27,37118.78,2021-02-03 08:37:00.790806
11,39928.85,38659.02,37429.11,37117.96,2021-02-03 08:38:26.686817
12,40051.5,38788.49,37509.01,37230.04,2021-02-03 08:39:51.314852
13,40086.14,38810.15,37554.27,37246.66,2021-02-03 08:41:16.586543
14,40031.32,38729.8,37500.96,37196.62,2021-02-03 08:42:41.634385
15,39998.4,38712.52,37472.43,37175.79,2021-02-03 08:44:06.851229
16,40004.81,38728.21,37476.23,37182.99,2021-02-03 08:45:31.229558
17,39983.96,38709.4,37474.66,37176.01,2021-02-03 08:46:56.239903
18,39952.09,38678.14,37446.6,37146.57,2021-02-03 08:48:22.844409
19,39910.69,38632.73,37392.22,37106.05,2021-02-03 08:49:46.438440
20,39941.58,38664.98,37448.18,37135.77,2021-02-03 08:51:12.524858
21,39997.84,38710.83,37471.22,37174.84,2021-02-03 08:52:43.647236
22,40076.94,38810.12,37571.6,37256.1,2021-02-03 08:54:08.176319
23,40188.72,38923.26,37650.78,37357.54,2021-02-03 08:55:32.359442
24,40227.33,38954.04,37681.84,37386.88,2021-02-03 08:56:56.945899
25,40190.85,38929.91,37629.03,37349.3,2021-02-03 08:58:21.874306
26,40187.62,38920.4,37625.34,37350.06,2021-02-03 08:59:47.444186
27,40149.73,38878.44,37577.92,37282.1,2021-02-03 09:01:11.716451
28,40147.26,38872.77,37576.58,37281.77,2021-02-03 09:02:36.852787
29,40126.63,38864.87,37570.6,37294.91,2021-02-03 09:04:01.753558
30,40171.88,38910.65,37585.47,37291.93,2021-02-03 09:05:25.973288
31,40152.13,38890.52,37569.4,37276.73,2021-02-03 09:06:50.620864
32,40126.31,38870.36,37547.9,37245.31,2021-02-03 09:08:15.703547
33,40136.44,38870.01,37538.64,37257.56,2021-02-03 09:09:40.920148
34,40138.92,38880.34,37535.01,37259.87,2021-02-03 09:11:05.398652
35,40192.06,38926.04,37594.72,37307.81,2021-02-03 09:12:30.151493
36,40183.6,38913.11,37593.43,37302.75,2021-02-03 09:13:55.488283
37,40158.21,38885.81,37567.77,37277.87,2021-02-03 09:15:21.165903
38,40192.81,38907.77,37603.7,37311.58,2021-02-03 09:16:44.947591
39,40231.8,38963.79,37641.97,37339.83,2021-02-03 09:18:12.163105
40,40204.61,38930.8,37605.29,37312.42,2021-02-03 09:19:36.467832
41,40219.9,38944.44,37603.24,37330.08,2021-02-03 09:21:01.405718
42,40207.97,38914.17,37625.05,37306.87,2021-02-03 09:22:27.212785
43,40175.22,38893.8,37585.31,37284.39,2021-02-03 09:23:53.398102
44,40178.43,38904.91,37588.14,37294.3,2021-02-03 09:25:19.299599
45,40097.17,38823.44,37501.21,37210.34,2021-02-03 09:26:44.149854
46,40115.57,38841.72,37516.91,37230.88,2021-02-03 09:28:09.501262
47,40087.2,38813.71,37483.06,37199.46,2021-02-03 09:30:11.756376
48,40058.15,38792.58,37460.55,37177.54,2021-02-03 09:31:36.035127
49,40063.55,38782.48,37453.72,37160.68,2021-02-03 09:32:01.463502
50,40051.05,38780.21,37439.75,37164.63,2021-02-03 09:33:01.280839
51,40076.92,38790.95,37456.59,37168.98,2021-02-03 09:33:28.129307
52,40085.41,38800.98,37467.0,37176.46,2021-02-03 09:34:28.001073
53,40094.35,38818.98,37481.46,37188.62,2021-02-03 09:34:54.285103
54,40115.16,38833.09,37505.82,37216.23,2021-02-03 09:35:51.482208
55,40159.03,38882.7,37547.46,37263.65,2021-02-03 09:36:17.810916
56,40164.06,38869.93,37555.05,37247.66,2021-02-03 09:37:15.861424
57,40121.46,38834.57,37525.14,37227.81,2021-02-03 09:37:43.284404
58,40136.94,38861.01,37540.95,37253.05,2021-02-03 09:38:41.235982
59,40138.84,38872.05,37539.45,37243.96,2021-02-03 09:39:09.384441
60,40234.84,38947.99,37654.83,37368.92,2021-02-03 09:59:11.933611
61,40261.93,38966.43,37660.12,37371.34,2021-02-03 09:59:38.714430
62,39975.05,38700.0,37355.18,37080.6,2021-02-03 10:16:00.614332
63,40347.25,39146.61,37776.21,37506.95,2021-02-04 01:08:02.554005
64,40273.99,39063.5,37710.74,37457.74,2021-02-04 01:09:24.160288
