,biQ,Q,biW,W,date
0,21.183,20.37,19.527,19.415,2021-02-03 08:05:23.419430
1,21.22,20.388,19.524,19.44,2021-02-03 08:06:56.769561
2,21.219,20.385,19.52,19.437,2021-02-03 08:07:03.879721
3,20.819,20.036,19.199,19.109,2021-02-03 08:25:57.947681
4,20.848,20.046,19.18,19.113,2021-02-03 08:28:05.053903
5,20.823,20.043,19.195,19.111,2021-02-03 08:31:34.279904
6,20.809,20.009,19.169,19.095,2021-02-03 08:32:59.634211
7,20.84,20.03,19.199,19.108,2021-02-03 08:34:24.292993
8,21.001,20.246,19.349,19.301,2021-02-03 08:35:48.863200
9,20.854,20.064,19.247,19.133,2021-02-03 08:37:14.104362
10,20.852,20.071,19.198,19.149,2021-02-03 08:38:39.957315
11,20.85,20.089,19.23,19.148,2021-02-03 08:40:04.607343
12,20.962,20.19,19.292,19.234,2021-02-03 08:41:29.895340
13,20.977,20.205,19.304,19.253,2021-02-03 08:42:55.314117
14,20.953,20.197,19.333,19.233,2021-02-03 08:44:19.343415
15,20.969,20.221,19.335,19.281,2021-02-03 08:45:44.340315
16,21.018,20.247,19.361,19.296,2021-02-03 08:47:10.133427
17,21.004,20.243,19.38,19.294,2021-02-03 08:48:35.209103
18,20.97,20.195,19.315,19.248,2021-02-03 08:50:00.071354
19,21.012,20.244,19.359,19.286,2021-02-03 08:51:28.839988
20,21.004,20.229,19.35,19.265,2021-02-03 08:52:55.784501
21,20.994,20.232,19.352,19.25,2021-02-03 08:54:21.133527
22,21.012,20.24,19.364,19.281,2021-02-03 08:55:45.364751
23,21.01,20.235,19.364,19.293,2021-02-03 08:57:09.905510
24,21.096,20.346,19.444,19.36,2021-02-03 08:58:34.694734
25,21.062,20.307,19.393,19.343,2021-02-03 09:00:00.234078
26,21.056,20.311,19.406,19.339,2021-02-03 09:01:24.644518
27,21.002,20.297,19.37,19.311,2021-02-03 09:02:50.313629
28,21.028,20.295,19.365,19.304,2021-02-03 09:04:14.485895
29,21.031,20.266,19.354,19.302,2021-02-03 09:05:38.804362
30,20.998,20.255,19.331,19.28,2021-02-03 09:07:03.699636
31,20.936,20.213,19.279,19.244,2021-02-03 09:08:28.799823
32,20.979,20.223,19.34,19.259,2021-02-03 09:09:53.833685
33,20.973,20.218,19.311,19.259,2021-02-03 09:11:18.892855
34,21.014,20.275,19.367,19.325,2021-02-03 09:12:43.146135
35,21.049,20.309,19.391,19.313,2021-02-03 09:14:08.773403
36,21.062,20.337,19.375,19.327,2021-02-03 09:15:33.723914
37,21.115,20.386,19.425,19.391,2021-02-03 09:16:59.021770
38,21.11,20.379,19.442,19.38,2021-02-03 09:18:24.466231
39,21.229,20.489,19.498,19.492,2021-02-03 09:19:49.673312
40,21.224,20.479,19.515,19.503,2021-02-03 09:21:14.186401
41,21.22,20.482,19.524,19.505,2021-02-03 09:22:41.796190
42,21.179,20.437,19.496,19.447,2021-02-03 09:24:06.852768
43,21.167,20.457,19.492,19.436,2021-02-03 09:25:32.500235
44,21.182,20.461,19.494,19.47,2021-02-03 09:26:57.633575
45,21.207,20.493,19.533,19.494,2021-02-03 09:28:21.681808
46,21.272,20.541,19.604,19.554,2021-02-03 09:30:23.859550
47,21.229,20.495,19.541,19.541,2021-02-03 09:31:49.493882
48,21.22,20.502,19.543,19.503,2021-02-03 09:32:15.731008
49,21.21,20.488,19.526,19.487,2021-02-03 09:33:15.165304
50,21.217,20.487,19.543,19.476,2021-02-03 09:33:41.354014
51,21.218,20.486,19.531,19.462,2021-02-03 09:34:40.752819
52,21.212,20.484,19.52,19.483,2021-02-03 09:35:06.636989
53,21.228,20.498,19.56,19.502,2021-02-03 09:36:03.824896
54,21.232,20.507,19.567,19.528,2021-02-03 09:36:30.610779
55,21.215,20.496,19.565,19.498,2021-02-03 09:37:29.091155
56,21.244,20.512,19.546,19.51,2021-02-03 09:37:57.072123
57,21.236,20.492,19.535,19.507,2021-02-03 09:38:55.974416
58,21.214,20.487,19.561,19.493,2021-02-03 09:39:23.004759
59,21.455,20.778,19.786,19.74,2021-02-03 09:59:26.641331
60,21.523,20.865,19.874,19.828,2021-02-03 10:16:14.694030
61,22.046,21.133,20.293,20.251,2021-02-04 01:08:14.995830
62,22.03,21.089,20.292,20.261,2021-02-04 01:08:17.349789
63,21.745,20.801,20.031,19.94,2021-02-04 01:09:39.244827
