,biQ,Q,biW,W,date
0,3.193,3.142,3.071,3.055,2021-02-03 08:05:23.443936
1,3.197,3.148,3.073,3.058,2021-02-03 08:06:56.774751
2,3.197,3.146,3.073,3.059,2021-02-03 08:07:03.884677
3,3.179,3.126,3.057,3.042,2021-02-03 08:26:00.167192
4,3.185,3.133,3.064,3.048,2021-02-03 08:28:07.187136
5,3.245,3.192,3.116,3.106,2021-02-03 08:31:36.792765
6,3.26,3.21,3.133,3.12,2021-02-03 08:33:01.691255
7,3.276,3.22,3.147,3.132,2021-02-03 08:34:26.231830
8,3.285,3.232,3.159,3.146,2021-02-03 08:35:50.964948
9,3.283,3.229,3.154,3.14,2021-02-03 08:37:16.237156
10,3.27,3.217,3.141,3.125,2021-02-03 08:38:42.081892
11,3.265,3.211,3.136,3.123,2021-02-03 08:40:07.044138
12,3.27,3.217,3.143,3.128,2021-02-03 08:41:31.749999
13,3.275,3.221,3.146,3.132,2021-02-03 08:42:57.635213
14,3.295,3.24,3.166,3.144,2021-02-03 08:44:21.593402
15,3.275,3.221,3.148,3.133,2021-02-03 08:45:46.814746
16,3.267,3.213,3.139,3.124,2021-02-03 08:47:12.250452
17,3.273,3.219,3.146,3.133,2021-02-03 08:48:37.289396
18,3.268,3.217,3.143,3.127,2021-02-03 08:50:02.474435
19,3.273,3.222,3.146,3.13,2021-02-03 08:51:32.200212
20,3.262,3.209,3.137,3.123,2021-02-03 08:52:58.160691
21,3.266,3.212,3.141,3.127,2021-02-03 08:54:23.303019
22,3.271,3.221,3.146,3.13,2021-02-03 08:55:47.339557
23,3.269,3.219,3.143,3.129,2021-02-03 08:57:12.021400
24,3.274,3.222,3.147,3.132,2021-02-03 08:58:37.281200
25,3.268,3.215,3.141,3.126,2021-02-03 09:00:02.702577
26,3.268,3.216,3.141,3.126,2021-02-03 09:01:27.131382
27,3.269,3.218,3.142,3.13,2021-02-03 09:02:52.547167
28,3.273,3.22,3.146,3.132,2021-02-03 09:04:16.671496
29,3.278,3.226,3.151,3.137,2021-02-03 09:05:40.866569
30,3.281,3.228,3.155,3.14,2021-02-03 09:07:06.021443
31,3.279,3.226,3.152,3.139,2021-02-03 09:08:30.967983
32,3.284,3.231,3.157,3.142,2021-02-03 09:09:55.900462
33,3.279,3.226,3.153,3.138,2021-02-03 09:11:20.868955
34,3.277,3.225,3.153,3.136,2021-02-03 09:12:46.022393
35,3.274,3.222,3.15,3.133,2021-02-03 09:14:11.118411
36,3.273,3.221,3.147,3.133,2021-02-03 09:15:35.869250
37,3.274,3.221,3.148,3.133,2021-02-03 09:17:01.355874
38,3.273,3.221,3.148,3.132,2021-02-03 09:18:26.540986
39,3.268,3.217,3.143,3.127,2021-02-03 09:19:51.690797
40,3.27,3.221,3.146,3.132,2021-02-03 09:21:16.702401
41,3.263,3.212,3.136,3.121,2021-02-03 09:22:44.137138
42,3.268,3.219,3.142,3.124,2021-02-03 09:24:09.320555
43,3.267,3.215,3.141,3.126,2021-02-03 09:25:34.569655
44,3.264,3.214,3.138,3.122,2021-02-03 09:26:59.723133
45,3.26,3.211,3.134,3.119,2021-02-03 09:28:23.753195
46,3.26,3.211,3.132,3.118,2021-02-03 09:30:26.064424
47,3.259,3.208,3.13,3.116,2021-02-03 09:31:51.724573
48,3.259,3.207,3.13,3.115,2021-02-03 09:32:15.807790
49,3.259,3.208,3.13,3.115,2021-02-03 09:32:17.809964
50,3.259,3.209,3.132,3.116,2021-02-03 09:33:18.086191
51,3.26,3.21,3.133,3.118,2021-02-03 09:33:43.507644
52,3.261,3.208,3.135,3.119,2021-02-03 09:34:42.918410
53,3.26,3.21,3.133,3.118,2021-02-03 09:35:08.595427
54,3.262,3.212,3.133,3.12,2021-02-03 09:36:05.888187
55,3.263,3.212,3.136,3.121,2021-02-03 09:36:32.729818
56,3.26,3.211,3.133,3.117,2021-02-03 09:37:30.405623
57,3.261,3.211,3.133,3.119,2021-02-03 09:37:59.143091
58,3.261,3.211,3.134,3.119,2021-02-03 09:38:58.195270
59,3.262,3.212,3.134,3.119,2021-02-03 09:39:24.922093
60,3.267,3.214,3.139,3.122,2021-02-03 09:59:28.864608
61,3.262,3.211,3.133,3.117,2021-02-03 10:15:49.901192
62,3.262,3.21,3.133,3.117,2021-02-03 10:16:17.120171
63,3.174,3.119,3.048,3.03,2021-02-04 01:08:18.513864
64,3.147,3.091,3.022,3.005,2021-02-04 01:09:41.579467
