,biQ,Q,biW,W,date
0,8.329,8.338,8.036,7.993,2021-02-03 08:04:48.010156
1,8.325,8.332,8.034,7.987,2021-02-03 08:05:23.397485
2,8.369,8.367,8.067,8.029,2021-02-03 08:06:56.753879
3,8.368,8.373,8.066,8.027,2021-02-03 08:07:03.864279
4,8.199,8.198,7.913,7.868,2021-02-03 08:25:51.584027
5,8.217,8.219,7.93,7.887,2021-02-03 08:27:58.225604
6,8.254,8.257,7.971,7.925,2021-02-03 08:31:27.428352
7,8.255,8.253,7.971,7.921,2021-02-03 08:32:52.670949
8,8.27,8.264,7.977,7.933,2021-02-03 08:34:17.932397
9,8.298,8.303,8.004,7.96,2021-02-03 08:35:42.248071
10,8.309,8.305,8.012,7.971,2021-02-03 08:37:07.366938
11,8.318,8.316,8.014,7.973,2021-02-03 08:38:33.338189
12,8.327,8.333,8.032,7.991,2021-02-03 08:39:57.789113
13,8.319,8.322,8.034,7.975,2021-02-03 08:41:23.704231
14,8.305,8.313,8.023,7.968,2021-02-03 08:42:48.078588
15,8.339,8.339,8.039,7.992,2021-02-03 08:44:13.193122
16,8.341,8.347,8.048,8.003,2021-02-03 08:45:37.858458
17,8.323,8.329,8.037,7.983,2021-02-03 08:47:03.816248
18,8.309,8.312,8.023,7.973,2021-02-03 08:48:29.104631
19,8.302,8.303,8.013,7.964,2021-02-03 08:49:52.884903
20,8.294,8.298,8.008,7.958,2021-02-03 08:51:19.579064
21,8.298,8.301,8.011,7.963,2021-02-03 08:52:49.550550
22,8.314,8.318,8.026,7.982,2021-02-03 08:54:14.969602
23,8.322,8.322,8.038,7.983,2021-02-03 08:55:38.561537
24,8.327,8.325,8.036,7.989,2021-02-03 08:57:03.559770
25,8.324,8.328,8.03,7.986,2021-02-03 08:58:28.379246
26,8.324,8.327,8.034,7.986,2021-02-03 08:59:53.836613
27,8.315,8.323,8.032,7.983,2021-02-03 09:01:18.286815
28,8.324,8.325,8.034,7.987,2021-02-03 09:02:43.374646
29,8.327,8.326,8.037,7.99,2021-02-03 09:04:08.135803
30,8.309,8.307,8.018,7.972,2021-02-03 09:05:32.822256
31,8.316,8.315,8.02,7.976,2021-02-03 09:06:57.167695
32,8.315,8.313,8.025,7.978,2021-02-03 09:08:21.992285
33,8.286,8.283,7.994,7.954,2021-02-03 09:09:47.323793
34,8.282,8.282,8.005,7.945,2021-02-03 09:11:12.417654
35,8.282,8.281,7.996,7.951,2021-02-03 09:12:36.320995
36,8.283,8.286,8.005,7.953,2021-02-03 09:14:02.094556
37,8.283,8.28,7.997,7.944,2021-02-03 09:15:27.283809
38,8.29,8.289,8.007,7.955,2021-02-03 09:16:51.551760
39,8.295,8.293,8.003,7.957,2021-02-03 09:18:18.301023
40,8.307,8.301,8.017,7.967,2021-02-03 09:19:42.802696
41,8.31,8.312,8.025,7.973,2021-02-03 09:21:07.689392
42,8.306,8.299,8.012,7.965,2021-02-03 09:22:34.460845
43,8.327,8.325,8.031,7.987,2021-02-03 09:24:00.508197
44,8.346,8.34,8.055,8.008,2021-02-03 09:25:25.867168
45,8.332,8.332,8.048,7.998,2021-02-03 09:26:51.475606
46,8.329,8.325,8.045,7.989,2021-02-03 09:28:15.904313
47,8.315,8.31,8.031,7.979,2021-02-03 09:30:17.910601
48,8.311,8.314,8.033,7.976,2021-02-03 09:31:43.012020
49,8.304,8.306,8.018,7.966,2021-02-03 09:32:08.273779
50,8.307,8.307,8.026,7.971,2021-02-03 09:33:08.507883
51,8.314,8.313,8.027,7.975,2021-02-03 09:33:34.839422
52,8.314,8.311,8.031,7.977,2021-02-03 09:34:34.208351
53,8.314,8.31,8.028,7.977,2021-02-03 09:35:00.447680
54,8.318,8.312,8.033,7.979,2021-02-03 09:35:57.470102
55,8.327,8.319,8.043,7.987,2021-02-03 09:36:24.201694
56,8.328,8.325,8.043,7.993,2021-02-03 09:37:22.327365
57,8.33,8.327,8.047,7.987,2021-02-03 09:37:50.313357
58,8.33,8.325,8.041,7.993,2021-02-03 09:38:48.296134
59,8.327,8.327,8.047,7.994,2021-02-03 09:39:16.270722
60,8.399,8.395,8.103,8.051,2021-02-03 09:59:19.343312
61,8.388,8.386,8.096,8.046,2021-02-03 09:59:44.943919
62,8.295,8.287,8.009,7.961,2021-02-03 10:16:07.422809
63,8.055,8.022,7.783,7.742,2021-02-04 01:08:10.014041
64,8.023,7.981,7.751,7.713,2021-02-04 01:09:32.051835
