,biQ,Q,biW,W,date
0,1762.065,1697.242,1636.352,1619.934,2021-02-03 08:04:48.004617
1,1759.877,1695.381,1634.2,1619.032,2021-02-03 08:05:23.392004
2,1766.316,1702.172,1640.792,1626.678,2021-02-03 08:06:56.748540
3,1764.873,1700.232,1638.713,1624.141,2021-02-03 08:07:03.858903
4,1726.647,1662.099,1603.455,1590.119,2021-02-03 08:25:49.758897
5,1735.535,1672.042,1611.154,1597.253,2021-02-03 08:27:56.028368
6,1733.079,1669.259,1609.764,1594.135,2021-02-03 08:31:25.147449
7,1732.655,1669.184,1609.347,1594.479,2021-02-03 08:32:50.291236
8,1741.731,1677.65,1617.421,1602.68,2021-02-03 08:34:15.780558
9,1751.909,1687.549,1626.067,1611.729,2021-02-03 08:35:40.155042
10,1752.6,1688.78,1626.315,1613.11,2021-02-03 08:37:05.277649
11,1751.842,1688.444,1627.796,1613.107,2021-02-03 08:38:31.159146
12,1753.466,1690.389,1630.394,1614.914,2021-02-03 08:39:55.468212
13,1751.542,1688.301,1628.94,1613.014,2021-02-03 08:41:21.041192
14,1748.156,1685.043,1623.826,1610.065,2021-02-03 08:42:45.995534
15,1749.12,1686.287,1626.246,1611.188,2021-02-03 08:44:11.249505
16,1753.662,1689.609,1630.282,1614.075,2021-02-03 08:45:35.630033
17,1749.151,1685.329,1625.676,1610.218,2021-02-03 08:47:01.588237
18,1745.867,1681.785,1623.153,1606.814,2021-02-03 08:48:26.995372
19,1742.431,1678.789,1619.354,1605.051,2021-02-03 08:49:50.676238
20,1743.572,1679.303,1620.086,1605.899,2021-02-03 08:51:17.497590
21,1747.29,1682.774,1624.033,1609.221,2021-02-03 08:52:47.617449
22,1751.335,1686.32,1626.684,1612.469,2021-02-03 08:54:12.579277
23,1752.6,1687.679,1628.309,1613.55,2021-02-03 08:55:36.627383
24,1753.717,1689.382,1630.971,1616.542,2021-02-03 08:57:01.426992
25,1753.028,1688.81,1629.915,1614.871,2021-02-03 08:58:26.210511
26,1756.28,1692.564,1632.423,1617.608,2021-02-03 08:59:51.739657
27,1754.124,1691.405,1630.805,1614.647,2021-02-03 09:01:16.103325
28,1752.386,1688.531,1628.622,1613.626,2021-02-03 09:02:41.196943
29,1753.714,1690.68,1629.954,1615.7,2021-02-03 09:04:05.802103
30,1750.175,1686.939,1626.857,1611.832,2021-02-03 09:05:30.487967
31,1753.858,1690.765,1630.681,1615.739,2021-02-03 09:06:55.136654
32,1750.504,1686.81,1626.826,1612.075,2021-02-03 09:08:19.852602
33,1752.661,1689.683,1629.376,1615.229,2021-02-03 09:09:45.272669
34,1756.366,1692.987,1633.402,1618.48,2021-02-03 09:11:10.164041
35,1760.511,1696.781,1636.186,1621.446,2021-02-03 09:12:34.217923
36,1761.675,1697.554,1636.815,1622.888,2021-02-03 09:13:59.615700
37,1762.388,1698.089,1637.095,1622.251,2021-02-03 09:15:25.304512
38,1768.846,1705.02,1643.942,1629.498,2021-02-03 09:16:49.315933
39,1776.989,1713.03,1650.941,1636.27,2021-02-03 09:18:16.126475
40,1780.03,1715.767,1653.702,1638.207,2021-02-03 09:19:40.591893
41,1777.633,1714.404,1651.62,1636.841,2021-02-03 09:21:05.768881
42,1774.596,1709.448,1648.472,1632.469,2021-02-03 09:22:32.282455
43,1774.705,1711.515,1649.071,1633.861,2021-02-03 09:23:58.353075
44,1778.573,1714.896,1652.519,1637.211,2021-02-03 09:25:23.337918
45,1774.149,1710.475,1647.701,1632.561,2021-02-03 09:26:49.281002
46,1777.453,1713.129,1650.762,1635.938,2021-02-03 09:28:13.816249
47,1773.0,1708.477,1647.265,1632.519,2021-02-03 09:30:15.690279
48,1774.251,1709.191,1646.738,1632.998,2021-02-03 09:31:40.800197
49,1771.302,1706.621,1646.72,1631.337,2021-02-03 09:32:05.976990
50,1774.586,1710.071,1648.95,1634.005,2021-02-03 09:33:05.961398
51,1779.869,1715.483,1653.821,1638.664,2021-02-03 09:33:32.770470
52,1786.29,1721.072,1657.785,1644.033,2021-02-03 09:34:32.214012
53,1786.88,1722.206,1659.643,1645.273,2021-02-03 09:34:58.568500
54,1785.0,1721.069,1657.186,1643.919,2021-02-03 09:35:55.439389
55,1784.052,1719.086,1658.091,1642.371,2021-02-03 09:36:22.108974
56,1782.166,1717.311,1654.815,1640.827,2021-02-03 09:37:20.098015
57,1779.354,1714.206,1653.048,1638.938,2021-02-03 09:37:46.565834
58,1778.351,1713.028,1651.889,1637.961,2021-02-03 09:38:45.746546
59,1779.922,1714.593,1654.055,1639.387,2021-02-03 09:39:14.046360
60,1790.307,1725.739,1661.793,1649.848,2021-02-03 09:59:16.963319
61,1790.7,1726.476,1662.133,1649.427,2021-02-03 09:59:42.965349
62,1779.675,1716.197,1652.9,1640.086,2021-02-03 10:16:05.199279
63,1773.643,1709.233,1648.496,1635.236,2021-02-04 01:08:07.615725
64,1771.671,1707.197,1645.763,1631.23,2021-02-04 01:09:29.350433
