,biQ,Q,biW,W,date
0,27.167,26.468,25.84,25.58,2021-02-03 08:04:12.012846
1,27.148,26.447,25.793,25.54,2021-02-03 08:04:47.977512
2,27.129,26.439,25.814,25.591,2021-02-03 08:05:23.360124
3,27.183,26.488,25.857,25.587,2021-02-03 08:06:56.721358
4,27.156,26.494,25.841,25.596,2021-02-03 08:07:03.834148
5,26.569,25.851,25.29,25.062,2021-02-03 08:25:40.493541
6,26.654,25.925,25.348,25.105,2021-02-03 08:27:47.263480
7,26.574,25.869,25.273,25.052,2021-02-03 08:31:17.296180
8,26.563,25.857,25.273,25.043,2021-02-03 08:32:42.010786
9,26.593,25.884,25.318,25.083,2021-02-03 08:34:07.034049
10,26.693,25.987,25.4,25.16,2021-02-03 08:35:31.369345
11,26.616,25.889,25.336,25.085,2021-02-03 08:36:56.098936
12,26.574,25.885,25.279,25.046,2021-02-03 08:38:21.451636
13,26.613,25.885,25.357,25.06,2021-02-03 08:39:47.553494
14,26.625,25.883,25.336,25.079,2021-02-03 08:41:12.297618
15,26.653,25.912,25.334,25.098,2021-02-03 08:42:36.855491
16,26.649,25.914,25.355,25.09,2021-02-03 08:44:02.701290
17,26.65,25.906,25.344,25.135,2021-02-03 08:45:26.717882
18,26.631,25.875,25.303,25.079,2021-02-03 08:46:51.945727
19,26.599,25.869,25.276,25.064,2021-02-03 08:48:17.726422
20,26.608,25.862,25.295,25.059,2021-02-03 08:49:42.285307
21,26.614,25.861,25.293,25.057,2021-02-03 08:51:08.227192
22,26.575,25.816,25.253,25.026,2021-02-03 08:52:39.546453
23,26.557,25.834,25.263,25.017,2021-02-03 08:54:04.053337
24,26.585,25.818,25.285,25.041,2021-02-03 08:55:28.161953
25,26.571,25.82,25.277,25.031,2021-02-03 08:56:52.533772
26,26.532,25.797,25.259,25.014,2021-02-03 08:58:17.234519
27,26.558,25.809,25.231,25.018,2021-02-03 08:59:42.503147
28,26.563,25.824,25.245,25.018,2021-02-03 09:01:07.727428
29,26.579,25.812,25.286,25.021,2021-02-03 09:02:32.293036
30,26.589,25.84,25.327,25.056,2021-02-03 09:03:57.762665
31,26.568,25.821,25.266,25.043,2021-02-03 09:05:21.737364
32,26.567,25.849,25.315,25.024,2021-02-03 09:06:46.366652
33,26.538,25.843,25.28,25.015,2021-02-03 09:08:11.363419
34,26.565,25.862,25.249,25.02,2021-02-03 09:09:36.524746
35,26.556,25.813,25.257,25.016,2021-02-03 09:11:00.603501
36,26.586,25.86,25.276,25.057,2021-02-03 09:12:25.931299
37,26.6,25.896,25.263,25.064,2021-02-03 09:13:51.168331
38,26.618,25.899,25.333,25.085,2021-02-03 09:15:16.431433
39,26.623,25.934,25.331,25.105,2021-02-03 09:16:41.000346
40,26.671,25.961,25.357,25.141,2021-02-03 09:18:07.465490
41,26.707,25.992,25.392,25.181,2021-02-03 09:19:32.120321
42,26.6,25.88,25.331,25.066,2021-02-03 09:20:57.261703
43,26.59,25.87,25.308,25.06,2021-02-03 09:22:22.098090
44,26.627,25.897,25.338,25.076,2021-02-03 09:23:49.376905
45,26.614,25.885,25.325,25.086,2021-02-03 09:25:14.447029
46,26.694,25.995,25.419,25.186,2021-02-03 09:26:39.783498
47,26.683,25.978,25.428,25.145,2021-02-03 09:28:05.185563
48,26.664,25.936,25.387,25.139,2021-02-03 09:30:07.474029
49,26.653,25.953,25.42,25.121,2021-02-03 09:31:31.457751
50,26.689,25.989,25.418,25.159,2021-02-03 09:31:57.462240
51,26.681,25.974,25.393,25.147,2021-02-03 09:32:56.724772
52,26.753,26.029,25.499,25.219,2021-02-03 09:33:23.822524
53,26.763,26.045,25.468,25.225,2021-02-03 09:34:23.448243
54,26.73,26.028,25.491,25.191,2021-02-03 09:34:50.174259
55,26.73,26.024,25.478,25.214,2021-02-03 09:35:47.322106
56,26.734,26.013,25.485,25.169,2021-02-03 09:36:13.849428
57,26.768,26.048,25.445,25.228,2021-02-03 09:37:11.460189
58,26.74,26.057,25.49,25.199,2021-02-03 09:37:37.964941
59,26.753,26.048,25.492,25.21,2021-02-03 09:38:36.930188
60,26.728,26.027,25.49,25.188,2021-02-03 09:39:05.517126
61,26.863,26.182,25.654,25.332,2021-02-03 09:59:07.712416
62,26.867,26.195,25.629,25.339,2021-02-03 09:59:33.533446
63,26.903,26.229,25.565,25.373,2021-02-03 10:15:55.895695
64,25.568,24.956,24.333,24.033,2021-02-04 01:07:57.792664
65,25.471,24.85,24.197,23.949,2021-02-04 01:09:19.197675
