,biQ,Q,biW,W,date
0,167.815,162.909,156.74,155.456,2021-02-03 08:04:47.998805
1,167.403,162.455,156.201,155.0,2021-02-03 08:05:23.383151
2,167.43,162.495,156.301,155.089,2021-02-03 08:06:56.742919
3,167.588,162.63,156.47,155.207,2021-02-03 08:07:03.853456
4,162.7,157.678,152.184,150.835,2021-02-03 08:25:47.788578
5,163.724,158.563,152.816,151.61,2021-02-03 08:27:53.769208
6,163.542,158.66,153.028,151.694,2021-02-03 08:31:23.418498
7,163.476,158.583,152.892,151.608,2021-02-03 08:32:47.979688
8,163.85,158.988,153.111,151.896,2021-02-03 08:34:13.671848
9,165.027,160.192,154.383,153.039,2021-02-03 08:35:38.307878
10,164.696,159.675,153.866,152.821,2021-02-03 08:37:03.221911
11,164.644,159.735,153.804,152.667,2021-02-03 08:38:28.839743
12,164.923,159.914,154.087,152.882,2021-02-03 08:39:53.404954
13,164.871,160.085,154.096,152.957,2021-02-03 08:41:18.720597
14,164.602,159.666,154.033,152.866,2021-02-03 08:42:43.706084
15,164.775,159.834,154.217,152.904,2021-02-03 08:44:09.094695
16,165.13,160.235,154.407,153.261,2021-02-03 08:45:33.508053
17,164.573,159.636,153.815,152.626,2021-02-03 08:46:59.303661
18,164.593,159.587,153.781,152.603,2021-02-03 08:48:24.945925
19,164.766,159.703,153.912,152.787,2021-02-03 08:49:48.445828
20,164.637,159.67,153.864,152.74,2021-02-03 08:51:14.945131
21,164.705,159.793,154.064,152.801,2021-02-03 08:52:45.580471
22,164.856,160.155,154.359,152.978,2021-02-03 08:54:10.567875
23,165.241,160.248,154.549,153.26,2021-02-03 08:55:34.506548
24,165.472,160.608,154.629,153.477,2021-02-03 08:56:58.907826
25,165.281,160.357,154.482,153.298,2021-02-03 08:58:23.895686
26,165.306,160.482,154.482,153.364,2021-02-03 08:59:49.445125
27,164.844,160.021,154.075,152.992,2021-02-03 09:01:13.990074
28,165.246,160.359,154.419,153.143,2021-02-03 09:02:39.150744
29,165.181,160.363,154.464,153.233,2021-02-03 09:04:03.888677
30,165.15,160.277,154.486,153.162,2021-02-03 09:05:28.452130
31,165.137,160.192,154.298,153.179,2021-02-03 09:06:52.836250
32,165.065,160.096,154.227,153.103,2021-02-03 09:08:17.776620
33,165.065,160.177,154.344,153.079,2021-02-03 09:09:43.104273
34,165.25,160.3,154.358,153.306,2021-02-03 09:11:08.066026
35,165.346,160.536,154.623,153.388,2021-02-03 09:12:32.233552
36,165.344,160.276,154.406,153.211,2021-02-03 09:13:57.507973
37,165.203,160.287,154.418,153.184,2021-02-03 09:15:23.255693
38,165.431,160.624,154.574,153.427,2021-02-03 09:16:47.179455
39,165.561,160.677,154.638,153.525,2021-02-03 09:18:14.013865
40,165.971,161.103,155.092,153.913,2021-02-03 09:19:38.492310
41,166.136,161.186,155.258,154.107,2021-02-03 09:21:03.508491
42,166.774,161.898,155.858,154.771,2021-02-03 09:22:29.429795
43,167.604,162.895,156.575,155.432,2021-02-03 09:23:56.078986
44,168.204,163.207,156.94,155.801,2021-02-03 09:25:21.184262
45,167.441,162.392,156.289,155.132,2021-02-03 09:26:46.649113
46,167.334,162.374,156.387,155.202,2021-02-03 09:28:11.659651
47,166.975,162.132,155.71,154.832,2021-02-03 09:30:13.646168
48,167.05,162.062,156.033,154.935,2021-02-03 09:31:38.436010
49,166.993,161.951,155.985,154.79,2021-02-03 09:32:03.710390
50,166.783,161.738,155.79,154.508,2021-02-03 09:33:03.788354
51,167.178,162.152,156.003,154.929,2021-02-03 09:33:30.367098
52,167.417,162.365,156.235,155.082,2021-02-03 09:34:30.161597
53,167.621,162.593,156.539,155.227,2021-02-03 09:34:56.439134
54,167.283,162.273,156.176,155.027,2021-02-03 09:35:53.444061
55,167.8,162.763,156.629,155.448,2021-02-03 09:36:19.855813
56,167.641,162.63,156.582,155.205,2021-02-03 09:37:18.125914
57,167.544,162.56,156.425,155.138,2021-02-03 09:37:45.112443
58,167.787,162.699,156.595,155.37,2021-02-03 09:38:43.494987
59,167.908,162.897,156.785,155.493,2021-02-03 09:39:11.945030
60,169.401,164.119,158.333,157.076,2021-02-03 09:59:14.045020
61,169.376,164.24,158.265,157.031,2021-02-03 09:59:40.937921
62,168.437,163.322,157.396,155.935,2021-02-03 10:16:03.135303
63,159.672,154.763,149.476,148.306,2021-02-04 01:08:05.218819
64,158.751,153.583,148.518,147.315,2021-02-04 01:09:26.639588
