,biQ,Q,biW,W,date
0,0.03359,0.03359,0.034,0.03406,2021-02-03 08:05:23.454374
1,0.0336,0.03362,0.03402,0.03406,2021-02-03 08:06:56.779770
2,0.0336,0.03362,0.03402,0.03406,2021-02-03 08:07:03.889609
3,0.03338,0.03337,0.03377,0.03383,2021-02-03 08:26:02.600745
4,0.03338,0.03338,0.0338,0.03385,2021-02-03 08:28:09.460320
5,0.03358,0.03354,0.03394,0.03398,2021-02-03 08:31:38.806271
6,0.03354,0.03351,0.03395,0.03397,2021-02-03 08:33:04.170933
7,0.03366,0.03366,0.03408,0.0341,2021-02-03 08:34:28.397615
8,0.03373,0.03374,0.03415,0.03418,2021-02-03 08:35:53.210035
9,0.03375,0.03375,0.03416,0.03418,2021-02-03 08:37:18.512659
10,0.03362,0.03363,0.03398,0.03406,2021-02-03 08:38:44.125966
11,0.03363,0.03367,0.03405,0.03407,2021-02-03 08:40:09.220168
12,0.0337,0.03372,0.03412,0.03414,2021-02-03 08:41:33.710212
13,0.03366,0.03369,0.03406,0.03411,2021-02-03 08:42:59.760991
14,0.03374,0.03377,0.03417,0.03422,2021-02-03 08:44:23.770977
15,0.03376,0.03377,0.03418,0.03421,2021-02-03 08:45:48.678316
16,0.03368,0.03369,0.03406,0.03412,2021-02-03 08:47:14.823460
17,0.03364,0.03364,0.03404,0.03409,2021-02-03 08:48:39.390344
18,0.03363,0.03363,0.03404,0.03409,2021-02-03 08:50:04.805568
19,0.03369,0.03366,0.03408,0.03414,2021-02-03 08:51:35.053854
20,0.03362,0.03359,0.03402,0.03411,2021-02-03 08:53:00.283194
21,0.03367,0.03365,0.03409,0.03414,2021-02-03 08:54:25.289457
22,0.03366,0.03365,0.03405,0.03414,2021-02-03 08:55:49.376225
23,0.03368,0.03367,0.0341,0.03413,2021-02-03 08:57:14.180864
24,0.03368,0.03367,0.03411,0.03415,2021-02-03 08:58:39.551657
25,0.03367,0.03366,0.0341,0.03415,2021-02-03 09:00:04.726030
26,0.03359,0.03357,0.03401,0.03408,2021-02-03 09:01:29.189948
27,0.03354,0.03352,0.03398,0.03403,2021-02-03 09:02:54.647977
28,0.03356,0.03355,0.03398,0.03403,2021-02-03 09:04:18.712818
29,0.03353,0.0335,0.03395,0.034,2021-02-03 09:05:43.245203
30,0.03356,0.03353,0.03401,0.03405,2021-02-03 09:07:08.077863
31,0.03356,0.03354,0.034,0.03405,2021-02-03 09:08:33.264796
32,0.03355,0.03351,0.03397,0.03403,2021-02-03 09:09:57.664789
33,0.03355,0.03353,0.03398,0.03405,2021-02-03 09:11:22.751135
34,0.03354,0.03352,0.03399,0.03403,2021-02-03 09:12:48.145295
35,0.03355,0.03351,0.03398,0.03403,2021-02-03 09:14:13.389228
36,0.03359,0.03356,0.03403,0.03408,2021-02-03 09:15:37.860557
37,0.03369,0.03364,0.03412,0.03416,2021-02-03 09:17:04.041823
38,0.03368,0.03364,0.03411,0.03415,2021-02-03 09:18:28.869948
39,0.03371,0.03369,0.03415,0.0342,2021-02-03 09:19:54.180566
40,0.0337,0.03368,0.03416,0.03421,2021-02-03 09:21:18.816950
41,0.03368,0.03365,0.03413,0.03419,2021-02-03 09:22:46.263811
42,0.0337,0.03369,0.03414,0.03422,2021-02-03 09:24:11.536829
43,0.03372,0.03371,0.03418,0.03424,2021-02-03 09:25:36.979844
44,0.03375,0.0337,0.03418,0.03424,2021-02-03 09:27:02.063385
45,0.03372,0.03369,0.03415,0.03423,2021-02-03 09:28:25.930310
46,0.0337,0.03368,0.03417,0.03423,2021-02-03 09:30:28.534832
47,0.03371,0.03369,0.03416,0.03421,2021-02-03 09:31:53.966898
48,0.03372,0.03369,0.03415,0.03423,2021-02-03 09:32:17.734980
49,0.03372,0.03369,0.03415,0.03423,2021-02-03 09:32:19.988332
50,0.03371,0.0337,0.03417,0.03421,2021-02-03 09:33:20.220986
51,0.03374,0.03376,0.0342,0.03428,2021-02-03 09:33:45.869141
52,0.03374,0.03373,0.03422,0.03426,2021-02-03 09:34:44.731669
53,0.03374,0.03372,0.03419,0.03426,2021-02-03 09:35:10.751730
54,0.03376,0.03374,0.0342,0.03428,2021-02-03 09:36:07.926790
55,0.03376,0.03374,0.03423,0.03428,2021-02-03 09:36:34.677431
56,0.03379,0.03376,0.03428,0.03429,2021-02-03 09:37:33.312662
57,0.03386,0.03385,0.03426,0.0344,2021-02-03 09:38:01.198618
58,0.03387,0.03386,0.03436,0.03437,2021-02-03 09:39:00.142870
59,0.0339,0.03387,0.03433,0.03441,2021-02-03 09:39:27.038634
60,0.03388,0.03386,0.03437,0.03437,2021-02-03 09:59:30.976511
61,0.03378,0.03378,0.03424,0.0343,2021-02-03 10:15:52.135549
62,0.03379,0.03375,0.03424,0.03429,2021-02-03 10:16:19.387181
63,0.03238,0.03215,0.03292,0.03303,2021-02-04 01:08:20.749382
64,0.03209,0.03186,0.03276,0.03278,2021-02-04 01:09:43.982242
