,biQ,Q,biW,W,date
0,0.3816,0.3791,0.3789,0.3819,2021-02-03 08:04:47.985623
1,0.3814,0.3786,0.3788,0.3816,2021-02-03 08:05:23.368081
2,0.3811,0.3786,0.3785,0.3814,2021-02-03 08:06:56.730552
3,0.3813,0.3785,0.3786,0.3814,2021-02-03 08:07:03.841529
4,0.396,0.3934,0.3927,0.3959,2021-02-03 08:25:42.484296
5,0.4013,0.3985,0.3975,0.4004,2021-02-03 08:27:49.153994
6,0.4166,0.4141,0.4143,0.4167,2021-02-03 08:31:19.310833
7,0.4106,0.4073,0.4074,0.4102,2021-02-03 08:32:43.852977
8,0.4158,0.4113,0.4115,0.414,2021-02-03 08:34:09.297853
9,0.4168,0.4142,0.4148,0.417,2021-02-03 08:35:33.497419
10,0.4115,0.4081,0.4088,0.4108,2021-02-03 08:36:58.382749
11,0.4048,0.4027,0.4025,0.4051,2021-02-03 08:38:24.381964
12,0.404,0.4016,0.4019,0.4038,2021-02-03 08:39:49.358247
13,0.4072,0.4045,0.4051,0.4072,2021-02-03 08:41:14.317247
14,0.4061,0.4036,0.4033,0.4059,2021-02-03 08:42:39.432793
15,0.4082,0.4057,0.4057,0.4086,2021-02-03 08:44:04.865358
16,0.404,0.4012,0.4011,0.4039,2021-02-03 08:45:29.113185
17,0.4012,0.3985,0.3986,0.4011,2021-02-03 08:46:53.992652
18,0.4016,0.3987,0.3989,0.4011,2021-02-03 08:48:20.746176
19,0.401,0.3984,0.3981,0.4006,2021-02-03 08:49:44.464086
20,0.4021,0.3995,0.3996,0.402,2021-02-03 08:51:10.306470
21,0.4008,0.3981,0.3982,0.4009,2021-02-03 08:52:41.673128
22,0.3999,0.397,0.3962,0.3993,2021-02-03 08:54:06.206270
23,0.3989,0.3962,0.3962,0.3982,2021-02-03 08:55:30.109044
24,0.3968,0.3939,0.3945,0.3959,2021-02-03 08:56:54.725735
25,0.3969,0.3946,0.3947,0.3968,2021-02-03 08:58:19.692765
26,0.3982,0.3947,0.3956,0.398,2021-02-03 08:59:44.821012
27,0.3977,0.3948,0.3951,0.3973,2021-02-03 09:01:09.769225
28,0.4011,0.3987,0.3984,0.4008,2021-02-03 09:02:34.406208
29,0.403,0.4004,0.4002,0.4026,2021-02-03 09:03:59.619047
30,0.4009,0.398,0.3978,0.4003,2021-02-03 09:05:23.736910
31,0.4034,0.4006,0.4005,0.4029,2021-02-03 09:06:48.364432
32,0.3992,0.3966,0.3963,0.3988,2021-02-03 09:08:13.556995
33,0.3993,0.3971,0.3964,0.3989,2021-02-03 09:09:38.855163
34,0.3997,0.3976,0.3973,0.3995,2021-02-03 09:11:03.295688
35,0.3982,0.3957,0.3953,0.398,2021-02-03 09:12:28.172203
36,0.398,0.3956,0.3949,0.3975,2021-02-03 09:13:53.208517
37,0.3991,0.3966,0.396,0.3988,2021-02-03 09:15:18.980004
38,0.4008,0.3986,0.3984,0.4006,2021-02-03 09:16:42.988433
39,0.3993,0.3971,0.3965,0.3992,2021-02-03 09:18:09.775637
40,0.3986,0.3962,0.3959,0.3983,2021-02-03 09:19:34.116584
41,0.3988,0.3968,0.3966,0.399,2021-02-03 09:20:59.382849
42,0.3996,0.3969,0.3968,0.3992,2021-02-03 09:22:24.624438
43,0.4004,0.3981,0.3978,0.4004,2021-02-03 09:23:51.349804
44,0.402,0.3996,0.3993,0.4022,2021-02-03 09:25:16.940918
45,0.4005,0.3981,0.3985,0.4006,2021-02-03 09:26:41.994671
46,0.3999,0.3973,0.3976,0.4002,2021-02-03 09:28:07.424796
47,0.4009,0.3985,0.3984,0.4009,2021-02-03 09:30:09.624980
48,0.4,0.3973,0.3973,0.3999,2021-02-03 09:31:33.586049
49,0.3999,0.3973,0.3973,0.3997,2021-02-03 09:31:59.376611
50,0.3985,0.3958,0.3958,0.3987,2021-02-03 09:32:58.932309
51,0.3984,0.3956,0.3958,0.3981,2021-02-03 09:33:26.046438
52,0.399,0.3964,0.3962,0.3989,2021-02-03 09:34:25.727932
53,0.399,0.3965,0.3962,0.3987,2021-02-03 09:34:52.486735
54,0.3982,0.3957,0.3952,0.398,2021-02-03 09:35:49.457124
55,0.3985,0.3959,0.3956,0.3983,2021-02-03 09:36:15.860648
56,0.4007,0.3985,0.3978,0.4008,2021-02-03 09:37:13.580298
57,0.3999,0.3973,0.3968,0.3999,2021-02-03 09:37:41.118465
58,0.3995,0.3971,0.3966,0.3993,2021-02-03 09:38:39.180320
59,0.3996,0.397,0.3967,0.3991,2021-02-03 09:39:07.421155
60,0.3976,0.3947,0.3944,0.3974,2021-02-03 09:59:09.563062
61,0.3979,0.3956,0.3951,0.3978,2021-02-03 09:59:36.617205
62,0.3946,0.3917,0.3916,0.3943,2021-02-03 10:15:58.286041
63,0.394,0.3909,0.3908,0.3919,2021-02-04 01:08:00.342011
64,0.392,0.389,0.3891,0.3901,2021-02-04 01:09:21.707097
